reference,date,type,sex,age,name,origin,ethnicity,colour,owner/seller,buyer,price,currency
31/293,1301-03-28,sale,male,15,Ballaba,Turkey,,white,Leonardus de Rivemar de Clavaro,"Filipus de Osio from Famagusta, procurator for Iacobus Mora",75,Cypriot white bezants
31/331,1301-04-01,sale,male,10,Echifor,Turkey,Greek,white,Martinus Barterii,a genoese auctioneer,55,Cypriot white bezants
31/332,1301-03-31,sale,female,12,Augusta,,Greek,olive,Lanfrancus de Rovereta di Voltri,Nicolaus de Castellana de Clavaro,30,Cypriot white bezants
31/340,1301-04-11,sale,female,24,,Turkey,,white,Iohaninus Trabucus,Bernardus de Quiliano,181 *,Cypriot white bezants
31/340,1301-04-11,sale,male,30,,Turkey,,white,Iohaninus Trabucus,Bernardus de Quiliano,181 *,Cypriot white bezants
31/350,1301-04-18,sale,male,22,Iohaninus,Syria,,white,Franciscus de Alexandrio,Iohanes de Castello,100,Cypriot white bezants
31/380,1301-05-22,insurance,female,25,Fatima,Turkey,,white,,,,
31/399,1301-06-05,sale,male,14,Bruscus,Black Sea,,white,Iohanes Rex di Voltri,Nicolaus de Camezona,125,Cypriot white bezants
31/418,1301-06-18,testamentary manumission,male,,Monbarac,,,,Petrus de Layacio of Genoa,,,
32/20,1301-07-27,sale,male,10,Ali,Turkey,,white,Gandoltus de Staeria of Genoa,Palmerius de Preposito de Florenzola and brothers,60,Cypriot white bezants
32/21,1301-07-27,sale,male,14,Hosuffo,,,white,Facinus de Ceva of Genoa,Guirardus de Duce of Piacenza,100,Cypriot white bezants
32/46,1301-08-15,testamentary manumission,male,,,,,,Paganus de Fellino,,,
32/55,1301-08-25,sale,male,14,Taliaferus,,Circassian,white,Massus de Naulo,Obertus de Damiano,64,Cypriot white bezants
32/58,1301-08-25,sale,male,12,Tarabuga,,Cuman,,Iacobus de Solario,Angelinus de Magdalena of Genoa,100,Cypriot white bezants
32/78,1301-09-02,sale,female,8,Axia,Turkey,,white,Georgius de Casa Orlandi,Enricus Custulerius of Pisa,50,Cypriot white bezants
32/79,1301-09-02,sale,female,12,Cali alias Margherita,Armenia,,,Boninus Lecaria,Octobonus de Volta,60,Cypriot white bezants
32/107,1301-09-12,manumission,male,,Iacobinus,,,,Georgius Niger of Genoa,,,
32/116,1301-09-15,commenda,female,,,,Mingrelian,,Nicolaus Verrandus de Naulo and Thoma Iancorcordus de Sancto Ambrosio,,45,Cypriot white bezants
32/117,1301-09-15,sale,male,50,Abrain,western Mediterranean,,brown,"Mosse tinctor of Famagusta, Jewish",Guillelmus Dalmacius of Genoa,130,Cypriot white bezants
32/125,1301-09-15,sale,female,,,,,,Iacobus de Leone di Tripoli,Obertus Manayra of Syres Marsala procurator of Iohannes de Accon,,
32/140,1301-09-18,sale,male,20,Iarcaxius,,Circassian,,Lombardus Panzanus,Lombardus Sardena,80,Cypriot white bezants
32/148,1301-09-23,transportation,male,14,,,,,Lanfranchinus Pignatarius,,,
32/148,1301-09-23,transportation,female,14,,,,,Lanfranchinus Pignatarius,,,
