NAME,CLASS,POLITICS,IN ALBERGHI
COMPIANO,ARTEFICI,GHIBELLINI,
CONFORTO,NOBILI,GHIBELLINI,PINELLI
CORONATO,ARTEFICI,GHIBELLINI,
"CORRIGIA, DE",NOBILI,GUELFI,LOMELLINI
"CORSIO, DE",MERCANTI,GUELFI,
COSTA,ARTEFICI,"GHIBELLINI, GUELFI",
COSTA-CAVALLINI,ARTEFICI,GUELFI,
CRISPINI,NOBILI,GHIBELLINI,NIGRONE
CROCE,NOBILI,GUELFI,"NEGRO, DI"
CROVARA,ARTEFICI,GUELFI,
DA BENE,ARTEFICI,GHIBELLINI,
DELFINO,ARTEFICI,GUELFI,
DELLA TORRE,"MERCANTI, ARTEFICI","GHIBELLINI, GUELFI",
DELLA TORRE,MERCANTI,GHIBELLINI,"FRANCHI, DE"
DELLE PIANE,ARTEFICI,GHIBELLINI,
DENTUTO,NOBILI,GHIBELLINI,PINELLI
DERNICE,ARTEFICI,GUELFI,
DODO,NOBILI,GUELFI,"NEGRO, DI"
DOMOCULTA,ARTEFICI,GHIBELLINI,
DONATI,MERCANTI,GUELFI,
DONDI,NOBILI,GHIBELLINI,CATTANEO
DORIA,NOBILI,GHIBELLINI,
DOSIO,MERCANTI,GUELFI,
DRAGHI,MERCANTI,GHIBELLINI,"FORNARI, DE"
DRAGHI,MERCANTI,GHIBELLINI,"FRANCHI, DE"
DUGHI,NOBILI,GHIBELLINI,SPINOLA
EMBRIACO,NOBILI,GUELFI,"NEGRO, DI"
EMBRONE,NOBILI,GHIBELLINI,PINELLI
FALAMONICA,NOBILI,GUELFI,
FALAMONICA,NOBILI,GUELFI,GENTILE
FATTINANTI,MERCANTI,GUELFI,
FAVA,NOBILI,GHIBELLINI,SPINOLA
FAZIO,ARTEFICI,GHIBELLINI,
"FERRARI, DE",ARTEFICI,GHIBELLINI,
FIESCHI,NOBILI,GUELFI,
FIGONE,MERCANTI,GHIBELLINI,"FRANCHI, DE"
FILIPPI,NOBILI,GHIBELLINI,VIVALDI
FINAMORE,NOBILI,GUELFI,USODIMARE
FOGLIETTA,ARTEFICI,GUELFI,
"FORNARI, DE",MERCANTI,GHIBELLINI,
FORNETO,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
FORNI,NOBILI,GUELFI,CALVI
"FRANCESCHI, DE",MERCANTI,GUELFI,
"FRANCHI, DE",NOBILI,GHIBELLINI,
FRASCAROLA,NOBILI,GHIBELLINI,PALLAVICINI
FREVANTE,ARTEFICI,GHIBELLINI,
GALLIANO,ARTEFICI,GHIBELLINI,
GALLO,ARTEFICI,GHIBELLINI,
GANDUCCI,ARTEFICI,GHIBELLINI,
GANDUCCI,NOBILI,GUELFI,"MARINI, DE"
GARALDO,NOBILI,GHIBELLINI,NIGRONE
GARBARINO,"MERCANTI, ARTEFICI",GUELFI,
GARIBALDO,MERCANTI,"GHIBELLINI, GUELFI",GIUSTINIANI
GAVAZZA,ARTEFICI,GHIBELLINI,
GENTILE,NOBILI,GUELFI,
GENTILI,NOBILI,GHIBELLINI,
GHISI,MERCANTI,GUELFI,
GIAGGIOLO,ARTEFICI,GUELFI,
GIOARDI,ARTEFICI,GHIBELLINI,
GIOGO,NOBILI,GHIBELLINI,VIVALDI
